time_s,roll_sensor1,pitch_sensor1,emg_rms_sensor1,roll_sensor2,pitch_sensor2,emg_rms_sensor2,roll_sensor3,pitch_sensor3,emg_rms_sensor3
0.0,0.1170562976132116,0.03772502634959047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013514,0.5359678963696358,0.17033608477964884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.027027,1.2438004198695571,0.38790653489450216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.040541,2.1014420623540118,0.6517980681250898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.054054,2.9924883496937382,0.963593718502169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.067568,3.8098882820046747,1.3506406932294008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.081081,4.481917447019234,1.8445481817258051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.094595,4.981950613210241,2.471326099665839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.108108,5.308199537958329,3.2360248814281256,6.864329224879159e-05,0.0,0.0,0.00020260322685055165,0.0,0.0,0.0001186781421726491
0.121622,5.468153074061985,4.104700398869816,6.864329224879159e-05,0.0,0.0,0.00020260322685055165,0.0,0.0,0.0001186781421726491
0.135135,5.477304473670775,5.008545298642484,0.005034544942338756,0.0,0.0,0.011963482320996987,0.0,0.0,0.009218229079939305
0.148649,5.363795733302597,5.865841413589798,0.005034544942338756,0.0,0.0,0.011963482320996987,0.0,0.0,0.009218229079939305
0.162162,5.1711565241412885,6.601438634036558,0.004268095431601626,0.0,0.0,0.01047866284961868,0.0,0.0,0.007614200661480267
0.175676,4.9519120929524885,7.158438140895271,0.004268095431601626,0.0,0.0,0.01047866284961868,0.0,0.0,0.007614200661480267
0.189189,4.75361624611024,7.503852765771107,0.0041296447379279635,0.0,0.0,0.010219838356458451,0.0,0.0,0.007396684514392999
0.202703,4.606336938141487,7.6255904985410075,0.0041296447379279635,0.0,0.0,0.010219838356458451,0.0,0.0,0.007396684514392999
0.216216,4.517717416887227,7.5239064787860075,0.004127870464489138,0.0,0.0,0.01021621483390016,0.0,0.0,0.007426746572707663
0.22973,4.478090957614448,7.206717514058551,0.004127870464489138,0.0,0.0,0.01021621483390016,0.0,0.0,0.007426746572707663
0.243243,4.470249385397128,6.690992610995824,0.004142146413289402,-0.06434588309129878,0.07382473146619317,0.010242723002578072,0.12057356479630896,0.1027814492446763,0.007465424772239723
0.256757,4.473602915234871,6.006299440229647,0.004142146413289402,-0.2912441585880254,0.3341475831579612,0.010242723002578072,0.5457434879727885,0.4652123079832946,0.007465424772239723
0.27027,4.467302393499722,5.194599034119258,0.004149406357178882,-0.6631506364869347,0.7622781362417302,0.010256250312789962,1.2425633937871896,1.0683137378941754,0.00748122596156251
0.283784,4.44760545090596,4.299739308946011,0.004149406357178882,-1.095870841068348,1.2683117027850952,0.010256250312789962,2.052744111548232,1.8196897804793593,0.00748122596156251
0.297297,4.447162998458117,3.3529247253775205,0.00415140582961337,-1.5411202869578047,1.8148074100629656,0.01025998611736792,2.883996762470655,2.7464903130272695,0.007484736908339656
0.310811,4.523993803625113,2.3699169878075406,0.00415140582961337,-1.9787701324196374,2.4127169890597497,0.01025998611736792,3.6963397018309876,3.9761789216202925,0.007484736908339656
0.324324,4.725908931990206,1.3711453371363669,0.004264706702951347,-2.3980859049236036,3.088638071766371,0.01034581824675304,4.472632336900396,5.597141459246891,0.007636366664092123
0.337838,5.065158948255657,0.4297011804704443,0.004264706702951347,-2.7847826929670503,3.851996614476788,0.01034581824675304,5.196541035430415,7.535639584816315,0.007636366664092123
0.351351,5.514680329507208,-0.30081911271547535,0.010468788081404437,-3.128424812873591,4.709011560240197,0.015965668541453402,5.857907300786663,9.632950112142309,0.014655872708185438
0.364865,6.016109698696416,-0.6591067138865343,0.010468788081404437,-3.427091355121462,5.673893372355003,0.015965668541453402,6.455185833756863,11.745226010695754,0.014655872708185438
0.378378,6.495435366882802,-0.5953460493607148,0.009635715614483493,-3.676296581009147,6.73298725763056,0.015173704892301425,6.978517468213086,13.711827543115362,0.01418555435876379
0.391892,6.889626373164766,-0.18759640621238594,0.009635715614483493,-3.8616934401194234,7.820579222805732,0.015173704892301425,7.402686003000275,15.335504049213217,0.01418555435876379
0.405405,7.174248419165293,0.44583743550915933,0.009530902847677632,-3.9645233879722315,8.845823880775031,0.015010253071788465,7.700900333098046,16.447369297366627,0.014026003219324732
0.418919,7.371905287408811,1.2220437766965375,0.009530902847677632,-3.9694210126287635,9.731713884309857,0.015010253071788465,7.858968741166775,16.96682048993554,0.014026003219324732
0.432432,7.53753000095638,2.1072467116014137,0.009547102858391462,-3.868951292738579,10.430107915251693,0.014998713579920641,7.877760392481392,16.905541514861902,0.013984868125372054
0.445946,7.729566556993976,3.0859622369637014,0.009547102858391462,-3.6676757282610106,10.915674193787918,0.014998713579920641,7.766961455211751,16.335024586310112,0.013984868125372054
0.459459,7.983469324817428,4.123237458329133,0.009566571540024302,-3.3835328154066016,11.174446657361623,0.01501088377083065,7.5385284656937745,15.355333702537218,0.013981939220682986
0.472973,8.306774528406265,5.1571436470964525,0.009566571540024302,-3.0406985255614436,11.197614923776648,0.01501088377083065,7.209567362427044,14.103890386298108,0.013981939220682986
0.486486,8.69328632110062,6.116895972655313,0.00957441379334049,-2.6590684327309706,10.980020401946161,0.01501818558000193,6.809563250822314,12.77585776898137,0.013985065173254168
0.5,9.138195269703319,6.93648319174097,0.00957441379334049,-2.2522913466271404,10.51868914586081,0.01501818558000193,6.374176813146626,11.582011630066534,0.013985065173254168
0.513514,9.64403487180664,7.557272022077898,0.00979355586126654,-1.833587642454914,9.813070620478298,0.015085666501216729,5.928292955686724,10.664243362979567,0.014104311900424254
0.527027,10.215813561245483,7.931486684186895,0.00979355586126654,-1.4194210789305013,8.872647243871185,0.015085666501216729,5.480583709114128,10.059160720399566,0.014104311900424254
0.540541,10.85257815488958,8.02977542168234,0.02272665990093377,-1.028729554730085,7.726740244233008,0.018209508341416273,5.032444168187354,9.72544468436883,0.02021662458506703
0.554054,11.547015689195002,7.847558271672887,0.02272665990093377,-0.6818740967928041,6.423330883594892,0.018209508341416273,4.585194079405575,9.587938266357561,0.02021662458506703
0.567568,12.290729797272885,7.4072580455717265,0.021269363204915032,-0.4000900692047137,5.020787597383222,0.017958700851272946,4.143050765926073,9.569784533389663,0.019581689798636687
0.581081,13.073093207938241,6.756952262842698,0.021269363204915032,-0.2029916756167443,3.589603659765053,0.017958700851272946,3.722590256831194,9.607771632540036,0.019581689798636687
0.594595,13.875136211653798,5.965851747267094,0.02093440159951342,-0.10393541777942233,2.222194702237565,0.017893765454788643,3.3590139001803934,9.654316605739572,0.019441329594893714
0.608108,14.670470314060006,5.116098632759037,0.02093440159951342,-0.10519210297623148,1.0334196555269102,0.017893765454788643,3.0835418734435915,9.669901310080167,0.019441329594893714
0.621622,15.433454068942313,4.291815559108116,0.020893145877844792,-0.19522886453039892,0.14420742907273307,0.017881773980154135,2.8882928162107486,9.615835977875744,0.01942489265499168
0.635135,16.14500153421195,3.5676335173750013,0.020893145877844792,-0.3501536534377183,-0.34950737504714746,0.017881773980154135,2.726201075539753,9.46315375093014,0.01942489265499168
0.648649,16.79412436904143,2.99958704509174,0.020909357740362334,-0.5394357855170462,-0.4092234724925882,0.017882927667479544,2.5454785230363064,9.211342083001822,0.019432094228699296
0.662162,17.380328888651263,2.6211930115289763,0.020909357740362334,-0.7344043562779929,-0.0692511913227097,0.017882927667479544,2.3197124022637774,8.893109972222822,0.019432094228699296
0.675676,17.91638391843012,2.444022134288836,0.020921965234807247,-0.915749155591821,0.5717206360186482,0.01788483376541161,2.054987899703044,8.563616231603824,0.019437487362298573
0.689189,18.425828550798197,2.459790154985629,0.020921965234807247,-1.0756759242377796,1.3807457505956595,0.01788483376541161,1.7766615112490234,8.291760288915949,0.019437487362298573
0.702703,18.935965076237487,2.6419776803008688,0.020926385992098655,-1.217282586922347,2.2276902457435677,0.017885645577271975,1.5069478518760195,8.155430459163197,0.019439348994508696
0.716216,19.472540405350692,2.9460353622393622,0.020926385992098655,-1.357983698292861,3.007486911320251,0.017885645577271975,1.2457885855505701,8.227903565981203,0.019439348994508696
0.72973,20.057267754764585,3.3113297598537645,0.02097444608435052,-1.5312720680811882,3.6439136387151527,0.017853203465917396,0.9662884023759722,8.558320524779786,0.01939379577804435
