,multi_windowing_periods,guessing_periods,predicting_period
204,3.090000245720148e-05,,
205,2.7700007194653153e-05,,
206,0.00015719998918939382,,
207,4.610000178217888e-05,,
208,3.060000017285347e-05,,
209,2.9699993319809437e-05,,
210,3.0099996365606785e-05,,
211,0.018616000001202337,,
212,0.014426499998080544,,
213,0.014323199997306801,,
214,0.030389699997613207,,
215,0.04752279999956954,0.0031959000043570995,
216,0.047928400003002025,0.0029969000024721026,
217,0.04487070000323001,0.002202000003308058,
218,0.043519900005776435,0.002549700002418831,
219,0.04846930000348948,0.002982299993163906,
220,0.04173189999710303,0.002317799997399561,
221,0.04564369999570772,0.0024164000060409307,
222,0.04816390000632964,0.0026652000087779015,0.008720499987248331
223,0.06978330000129063,0.004602000000886619,0.001745899993693456
224,0.06467349999002181,0.004825600000913255,0.0023136999952839687
225,0.08777399999962654,0.004066400011652149,0.0017238999862456694
226,0.06948839999677148,0.004430899993167259,0.001493599993409589
227,0.07103310000093188,0.004740000003948808,0.0015181999915512279
228,0.07105110000702552,0.0032076000061351806,0.0030857000092510134
229,0.08680350000213366,0.003942600000300445,0.002445100006298162
230,0.07442460001038853,0.0041329999949084595,0.00306319999799598
231,0.0721594000060577,0.004641000006813556,0.0026806999958353117
232,0.08322140001109801,0.006872099998872727,0.0038207999896258116
233,0.1045767000032356,0.00569829999585636,0.002141400007531047
234,0.08202520001213998,0.004235499989590608,0.0017633000097703189
235,0.07369359998847358,0.006136299998615868,0.0018674000020837411
236,0.09530440000526141,0.005929199993261136,0.002391200003330596
237,0.07378310000058264,0.005481800006236881,0.001822199992602691
238,0.07983549998607486,0.003264400002080947,0.003231099995900877
239,0.07315229999949224,0.0032550999894738197,0.0028833999967901036
240,0.06717100000241771,0.0044215000089025125,0.0016996999911498278
241,0.099734500006889,0.004781700001331046,0.002017499995417893
242,0.0785840000025928,0.0041655999957583845,0.003421200002776459
243,0.07360279999556951,0.003953199993702583,0.0039222999912453815
244,0.07442550000268966,0.003356000001076609,0.0015735000051790848
245,0.07212950001121499,0.004042000000481494,0.0030251000134740025
246,0.0978527999977814,0.0038462999946204945,0.004270600009476766
247,0.09071350000158418,0.0045264999935170636,0.001720900007057935
248,0.07510159999947064,0.005981400012387894,0.002227399992989376
249,0.07871490000979975,0.0034091000125044957,0.0021250999998301268
250,0.07701690000249073,0.0047633000067435205,0.0018616999877849594
251,0.08426390000386164,0.004351199997472577,0.0031214999908115715
252,0.0721888999978546,0.005195699995965697,0.001592999993590638
253,0.06889340000634547,0.003430500000831671,0.001583400007802993
254,0.07129490000079386,0.00373290000425186,0.0015964000049280003
255,0.08070639999641571,0.005354199995053932,0.0047654999943915755
256,0.09571200000937097,0.006716600008076057,0.006315799997537397
257,0.12960230000317097,0.003916899993782863,0.003852599998936057
258,0.08352260000538081,0.0037274999922374263,0.0038585000002058223
259,0.08580220000294503,0.003627400001278147,0.004563599999528378
