time_s,roll_sensor1,pitch_sensor1,emg_rms_sensor1,roll_sensor2,pitch_sensor2,emg_rms_sensor2,roll_sensor3,pitch_sensor3,emg_rms_sensor3,labels
0.0,0.1170562976132116,0.0377250263495904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.013514,0.5359678963696358,0.1703360847796488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.027027,1.2438004198695571,0.3879065348945021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.040541,2.101442062354012,0.6517980681250898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.054054,2.9924883496937382,0.963593718502169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.067568,3.809888282004674,1.3506406932294008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.081081,4.481917447019234,1.8445481817258047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.094595,4.981950613210241,2.471326099665839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.108108,5.308199537958329,3.2360248814281256,6.864329224879159e-05,0.0,0.0,0.0002026032268505,0.0,0.0,0.0001186781421726,
0.121622,5.468153074061985,4.104700398869816,6.864329224879159e-05,0.0,0.0,0.0002026032268505,0.0,0.0,0.0001186781421726,
0.135135,5.477304473670775,5.008545298642484,0.0050345449423387,0.0,0.0,0.0119634823209969,0.0,0.0,0.0092182290799393,
0.148649,5.363795733302597,5.865841413589798,0.0050345449423387,0.0,0.0,0.0119634823209969,0.0,0.0,0.0092182290799393,
0.162162,5.1711565241412885,6.601438634036558,0.0042680954316016,0.0,0.0,0.0104786628496186,0.0,0.0,0.0076142006614802,
0.175676,4.9519120929524885,7.158438140895271,0.0042680954316016,0.0,0.0,0.0104786628496186,0.0,0.0,0.0076142006614802,
0.189189,4.75361624611024,7.503852765771107,0.0041296447379279,0.0,0.0,0.0102198383564584,0.0,0.0,0.0073966845143929,
0.202703,4.606336938141487,7.625590498541007,0.0041296447379279,0.0,0.0,0.0102198383564584,0.0,0.0,0.0073966845143929,
0.216216,4.517717416887227,7.523906478786007,0.0041278704644891,0.0,0.0,0.0102162148339001,0.0,0.0,0.0074267465727076,
0.22973,4.478090957614448,7.206717514058551,0.0041278704644891,0.0,0.0,0.0102162148339001,0.0,0.0,0.0074267465727076,
0.243243,4.470249385397128,6.690992610995824,0.0041421464132894,-0.0643458830912987,0.0738247314661931,0.010242723002578,0.1205735647963089,0.1027814492446763,0.0074654247722397,
0.256757,4.473602915234871,6.006299440229647,0.0041421464132894,-0.2912441585880254,0.3341475831579612,0.010242723002578,0.5457434879727885,0.4652123079832946,0.0074654247722397,
0.27027,4.467302393499722,5.194599034119258,0.0041494063571788,-0.6631506364869347,0.7622781362417302,0.0102562503127899,1.2425633937871896,1.0683137378941754,0.0074812259615625,
0.283784,4.44760545090596,4.299739308946011,0.0041494063571788,-1.095870841068348,1.2683117027850952,0.0102562503127899,2.052744111548232,1.8196897804793597,0.0074812259615625,
0.297297,4.447162998458117,3.3529247253775205,0.0041514058296133,-1.541120286957805,1.8148074100629656,0.0102599861173679,2.883996762470655,2.746490313027269,0.0074847369083396,
0.310811,4.523993803625113,2.369916987807541,0.0041514058296133,-1.9787701324196372,2.4127169890597497,0.0102599861173679,3.696339701830988,3.976178921620293,0.0074847369083396,
0.324324,4.725908931990206,1.3711453371363669,0.0042647067029513,-2.398085904923604,3.088638071766371,0.010345818246753,4.472632336900396,5.597141459246891,0.0076363666640921,
0.337838,5.065158948255657,0.4297011804704443,0.0042647067029513,-2.7847826929670503,3.851996614476788,0.010345818246753,5.196541035430415,7.535639584816315,0.0076363666640921,
0.351351,5.514680329507208,-0.3008191127154753,0.0104687880814044,-3.128424812873591,4.709011560240197,0.0159656685414534,5.857907300786663,9.632950112142307,0.0146558727081854,
